Name,Before,After,Difference,Done?
corard,1000000000006210,1000000000008770,2560,
homelessshotgun,148610,151100,2490,
trypoxd,143920,146470,2550,
uszl3ss,112130,113760,1630,
dannys2603,111160,112180,1020,
bnzy,105530,107200,1670,
rodimuspower,102190,104580,2390,
skilly1x,98610,101170,2560,
ghcboss,96690,98440,1750,
rainmaker,95570,98100,2530,
robbiemun,95410,96780,1370,
z7_jester,94110,94430,320,
gorgeousgrimess,91380,93200,1820,
copywastaken,89080,90980,1900,
quavojcrawl,86180,86230,50,
rimastino,84810,87020,2210,
corardbot,83740,86170,2430,
splashy17_,82340,83090,750,
fast_scoped,77330,78880,1550,
anotherttvviewer,77290,79620,2330,
xrubyrobsonn,76880,79120,2240,
olivzr,75450,77020,1570,
elyuhht,70560,71440,880,
tomcornishh,64690,65340,650,
tulleyx,63760,63880,120,
imsocranky_,63010,65370,2360,
lezonuk,62510,63490,980,
n0vamic,60330,60380,50,
keeleylauren,59660,59960,300,
noahmce_,59370,59480,110,
nebula2603,59120,59430,310,
zoesmartie,58030,58150,120,
feet,57560,58770,1210,
chomposi,56860,58410,1550,
mythickar,56290,57440,1150,
yeliabb,54900,57150,2250,
yoshii2757,54630,55810,1180,
snipeszzx,51170,51590,420,
spaniel,50900,50920,20,
spiketrapclair,50490,52800,2310,
rhysghux,50210,52340,2130,
cmcarrotz_,49730,51090,1360,
zakgamer27,49630,51270,1640,
geitje_noah,48120,48130,10,
juliusskull,46310,46680,370,
bigbadbootydadd,46140,47050,910,
thomaskeig,45100,47520,2420,
lispit,44780,46430,1650,
asparxgus,42890,43740,850,
xc4lx,41500,42930,1430,
xboyce_,39490,41030,1540,
jimaladi,38870,38880,10,
alphadragon_ow,38300,38530,230,
keylimepie999,37750,40280,2530,
samanthac92,37510,39350,1840,
iedvinx,37450,40000,2550,
jadiebabyx,37260,37680,420,
sleepyenderr,36920,38860,1940,
samzxr,36370,36410,40,
jetcoolxtreme,35870,36320,450,
orbxt_972,35810,36340,530,
